season,date,team1,team2,elo_team1,elo_team2,prob_team1,prob_team2
2019,2019-09-05,CHI,GB,1588.89793144843,1455.13136993533,0.7584485193045968,0.24155148069540322
2019,2019-09-08,NYJ,BUF,1384.96644235941,1448.42368150679,0.5022201967461954,0.49777980325380455
2019,2019-09-08,PHI,WAS,1581.51355925233,1441.02179176339,0.7654698543324963,0.23453014566750374
2019,2019-09-08,CLE,TEN,1455.88640137805,1518.90720352913,0.5028482638546541,0.4971517361453459
2019,2019-09-08,MIA,BAL,1415.17876187059,1570.53924891259,0.37281557491111966,0.6271844250888803
2019,2019-09-08,MIN,ATL,1538.42395425995,1520.31582461035,0.6173720777976055,0.3826279222023945
2019,2019-09-08,JAX,KC,1455.24907275187,1602.07742712331,0.38436967604805045,0.6156303239519496
2019,2019-09-08,CAR,LAR,1519.37877240763,1598.01566621671,0.4803850039945628,0.5196149960054373
2019,2019-09-08,LAC,IND,1585.75191800581,1561.07456529967,0.6262644674526644,0.3737355325473356
2019,2019-09-08,SEA,CIN,1565.41164859357,1428.5335151433,0.7617148036094071,0.23828519639059287
2019,2019-09-08,TB,SF,1444.77266859125,1422.63182461207,0.622840671248458,0.377159328751542
2019,2019-09-08,ARI,DET,1383.74042223536,1490.51940926969,0.44016333887878134,0.5598366611212187
2019,2019-09-08,DAL,NYG,1546.63760540507,1442.7255357616,0.7255848739644275,0.2744151260355725
2019,2019-09-08,NE,PIT,1640.85648810958,1572.19321967273,0.6833970641922035,0.3166029358077965
2019,2019-09-09,NO,HOU,1610.93660317005,1515.38853097227,0.7158948727512396,0.28410512724876036
2019,2019-09-09,OAK,DEN,1405.44061778861,1449.16419458668,0.5305810160650128,0.46941898393498716
2019,2019-09-12,CAR,TB,1506.14172298054,1409.64771139295,0.7170010787278287,0.2829989212721713
2019,2019-09-15,MIA,NE,1387.16030057606,1661.35527196907,0.23072481027334826,0.7692751897266518
2019,2019-09-15,NYG,BUF,1427.71782881766,1455.39081751318,0.5535121585662888,0.44648784143371123
2019,2019-09-15,GB,MIN,1489.80727052204,1559.31605609263,0.49351170020322305,0.506488299796777
2019,2019-09-15,DET,LAC,1488.69448229988,1599.72736029222,0.43413830208607945,0.5658616979139206
2019,2019-09-15,BAL,ARI,1598.55771020712,1385.56534920517,0.8320536957330441,0.1679463042669559
2019,2019-09-15,HOU,JAX,1509.57066983197,1435.17777134696,0.6904897727363537,0.3095102272636463
2019,2019-09-15,WAS,DAL,1433.33531739672,1561.64531234901,0.4098848002257198,0.5901151997742802
2019,2019-09-15,TEN,IND,1553.47379093182,1547.09912301326,0.6012954191334732,0.3987045808665268
2019,2019-09-15,CIN,SF,1425.50782652535,1457.75678181037,0.5469934314024829,0.4530065685975171
2019,2019-09-15,PIT,SEA,1551.69443581324,1568.43733721152,0.569004376445462,0.430995623554538
2019,2019-09-15,OAK,KC,1425.87140811396,1622.14872852822,0.3195820914825713,0.6804179085174287
2019,2019-09-15,DEN,CHI,1428.73340426133,1554.22203086172,0.41381885704756305,0.586181142952437
2019,2019-09-15,LAR,NO,1611.2527156438,1616.75446431035,0.5847975451665666,0.41520245483343343
2019,2019-09-15,ATL,PHI,1499.42372277767,1589.200033619,0.46440434137888753,0.5355956586211125
2019,2019-09-16,NYJ,CLE,1377.99930635302,1421.31981397536,0.5311588680791258,0.4688411319208742
2019,2019-09-19,JAX,TEN,1431.14271155562,1539.81897663855,0.43747382466748225,0.5625261753325177
2019,2019-09-22,IND,ATL,1560.75393730653,1516.86025143112,0.6517731517758779,0.3482268482241221
2019,2019-09-22,GB,DEN,1507.99464875202,1419.88418247957,0.7071070102530641,0.2928929897469359
2019,2019-09-22,PHI,DET,1571.76350496555,1504.71879316841,0.6813777159089712,0.3186222840910288
2019,2019-09-22,BUF,CIN,1485.88701536035,1389.76159956327,0.7165703433881626,0.2834296566118374
2019,2019-09-22,MIN,OAK,1541.12867786265,1408.11137665204,0.7576574620065255,0.2423425379934745
2019,2019-09-22,KC,BAL,1639.90875999014,1604.36062171603,0.6407916104033325,0.35920838959666745
2019,2019-09-22,NE,NYJ,1677.30113090138,1345.33491936636,0.9076372640184991,0.09236273598150091
2019,2019-09-22,DAL,MIA,1580.75267121279,1371.21444164375,0.8292567833682122,0.17074321663178782
2019,2019-09-22,TB,NYG,1439.76273979713,1397.22163097049,0.6500039077038455,0.34999609229615447
2019,2019-09-22,ARI,CAR,1379.76243769626,1476.02669457636,0.4551281678954752,0.5448718321045247
2019,2019-09-22,LAC,HOU,1583.70304942369,1513.60572962331,0.6851804650994758,0.31481953490052417
2019,2019-09-22,SF,PIT,1493.50300877245,1538.91174286514,0.5281642537223823,0.4718357462776177
2019,2019-09-22,SEA,NO,1581.22003015962,1592.94754840432,0.5760700542310849,0.4239299457689151
2019,2019-09-22,CLE,LAR,1453.98420096202,1635.05963154983,0.33890361733235375,0.6610963826676463
2019,2019-09-23,WAS,CHI,1414.22795853294,1563.07125264348,0.3816287334631154,0.6183712665368846
2019,2019-09-26,GB,PHI,1521.60374910091,1551.66540903822,0.5501115103543194,0.4498884896456806
2019,2019-09-29,BUF,NE,1494.38768499845,1681.73479150744,0.33086252864591703,0.669137471354083
2019,2019-09-29,DET,KC,1524.81688909574,1652.21846175305,0.4111502526180228,0.5888497473819772
2019,2019-09-29,ATL,TEN,1507.66070428972,1509.52681443155,0.5898699741381169,0.4101300258618831
2019,2019-09-29,NYG,WAS,1406.69571365219,1393.39712158012,0.6108111026305229,0.38918889736947715
2019,2019-09-29,HOU,CAR,1543.96594000943,1502.45309073862,0.6486561180316924,0.35134388196830757
2019,2019-09-29,MIA,LAC,1361.32285598972,1553.34283903757,0.32493456601386533,0.6750654339861346
2019,2019-09-29,IND,OAK,1569.95348444793,1394.57354231565,0.7995906971312478,0.20040930286875225
2019,2019-09-29,BAL,CLE,1592.05091995311,1440.59597920863,0.7766092416318191,0.2233907583681809
2019,2019-09-29,LAR,TB,1648.44785330322,1430.28865711543,0.8361690031716856,0.16383099682831437
2019,2019-09-29,ARI,SEA,1353.336041534,1558.24406118126,0.30887686558674077,0.6911231344132592
2019,2019-09-29,DEN,JAX,1406.27508213068,1461.43487376262,0.51415741289543,0.48584258710456996
